message_date,channel_name,channel_id,total_messages,answered_messages,non_response_total,nr_small_talk,nr_statement,nr_unclear_request,nr_out_of_scope,nr_noise_or_spam,nr_user_to_user,nr_missing_context,nr_knowledge_not_found,nr_malicious,nr_other
2026-01-01,Developer Community,demo_001,204,164,40,4,10,16,1,0,4,1,1,0,3
2026-01-01,Product Help Forum,demo_002,156,129,27,3,7,9,0,0,4,0,1,0,3
2026-01-01,API Support Chat,demo_003,133,90,43,4,8,15,6,1,5,0,2,0,2
2026-01-01,Integration Help Desk,demo_004,64,44,20,2,3,9,0,1,3,1,0,0,1
2026-01-02,Developer Community,demo_001,187,134,53,5,12,16,2,2,3,4,7,0,2
2026-01-02,Product Help Forum,demo_002,116,99,17,3,2,10,0,0,0,1,0,0,1
2026-01-02,API Support Chat,demo_003,123,100,23,4,7,3,0,0,4,2,2,0,1
2026-01-02,Integration Help Desk,demo_004,51,45,6,0,1,2,0,0,2,0,1,0,0
2026-01-03,Developer Community,demo_001,211,156,55,2,8,19,2,7,6,3,3,2,3
2026-01-03,Product Help Forum,demo_002,153,114,39,1,12,12,3,4,1,0,1,1,4
2026-01-03,API Support Chat,demo_003,108,82,26,3,8,2,2,2,1,1,1,4,2
2026-01-03,Integration Help Desk,demo_004,79,60,19,1,4,7,1,3,2,0,0,0,1
2026-01-04,Developer Community,demo_001,168,138,30,3,8,7,2,2,2,1,4,0,1
2026-01-04,Product Help Forum,demo_002,107,85,22,3,2,9,0,3,1,3,1,0,0
2026-01-04,API Support Chat,demo_003,94,75,19,4,2,6,0,4,2,0,1,0,0
2026-01-04,Integration Help Desk,demo_004,52,40,12,2,3,4,0,0,2,1,0,0,0
2026-01-05,Developer Community,demo_001,152,121,31,0,7,12,0,1,2,4,1,3,1
2026-01-05,Product Help Forum,demo_002,125,99,26,3,6,10,1,1,2,1,0,2,0
2026-01-05,API Support Chat,demo_003,116,102,14,1,3,6,2,0,1,0,1,0,0
2026-01-05,Integration Help Desk,demo_004,51,41,10,1,3,3,0,1,0,0,1,1,0
2026-01-06,Developer Community,demo_001,157,111,46,1,7,20,3,5,4,0,2,2,2
2026-01-06,Product Help Forum,demo_002,115,79,36,0,7,12,2,5,4,1,1,1,3
2026-01-06,API Support Chat,demo_003,134,112,22,2,6,5,0,2,3,1,1,0,2
